순번,시설분류,도민 이해용 수정한 시설분류,용어 1,용어 2,용어 3,용어 4,용어 5,용어 6
1,양로시설,노인주거시설,양로원,실버타운,노인주택,어르신주거시설,노인거주시설
2,노인요양공동생활가정,요양원(소규모),소규모요양원,그룹홈요양,공동생활요양원,노인그룹홈,소형요양시설
3,노인복지주택,노인주거시설,실버타운,노인아파트,노인주택,어르신주택,노인주거
4,노인공동생활가정,공동생활가정,그룹홈,공동생활시설,생활가정,쉐어홈,소규모생활시설
5,노인요양시설,요양원,노인요양원,요양시설,장기요양시설,어르신요양시설,요양센터
6,재가노인지원서비스,방문돌봄,재가요양,가정돌봄,방문케어,요양방문서비스,집에서돌봄
7,주야간보호서비스시설,데이케어센터,주간보호센터,주야간보호센터,낮돌봄센터,데이케어,치매데이케어
8,방문요양서비스시설,방문돌봄,방문요양,재가돌봄,홈케어,가정요양,방문서비스
9,방문목욕서비스시설,방문목욕,목욕서비스,이동목욕,재가목욕,방문목욕케어,목욕지원
10,"그밖에 재가서비스 제공시설(재가노인지원서비스, 방문간호서비스, 복지용구지원서비스)",기타 재가노인서비스,재가서비스,노인재가서비스,가정복지서비스,방문복지,재가복지
11,단기보호서비스시설,단기보호시설,단기요양,단기입소,단기돌봄,단기보호센터,임시요양
12,"방문요양,방문목욕",방문돌봄,방문요양,재가요양,홈케어,방문돌봄서비스,요양방문
13,방문요양,방문돌봄,방문요양,재가요양,가정돌봄,홈케어,방문서비스
14,"방문요양,방문목욕,주야간보호",재가노인복지시설,재가복지시설,방문+주간복합,재가케어센터,통합돌봄시설,복합재가시설
15,"방문요양,주야간보호",재가노인복지시설,방문+주간복합,재가케어센터,통합돌봄시설,복합돌봄,재가복지
16,주야간보호,데이케어센터,주간보호센터,주야간센터,낮돌봄센터,데이케어,어르신센터
17,복지용구제공사업소,복지용구,보행기대여,의료용품대여,복지장비,요양용품,복지기구
18,방문간호,방문간호,재가간호,가정간호,방문의료,간호서비스,홈간호
19,"방문요양,주야간보호,주야간보호 내 치매전담 1실",치매전담 데이케어센터,치매센터,치매주간보호,치매데이케어,치매돌봄센터,치매전문센터
20,그밖에 재가서비스 제공시설,기타 재가노인서비스,재가복지,방문복지,노인재가서비스,가정서비스,재가케어
21,①방문요양서비스시설,방문돌봄,방문요양,재가요양,홈케어,가정돌봄,방문서비스
22,④방문목욕서비스시설,방문목욕,목욕지원,이동목욕,재가목욕,방문목욕서비스,목욕케어
23,노인복지관,노인복지관,어르신복지관,시니어센터,노인문화센터,복지관,노인센터,노인복지회관
24,경로당,경로당,마을회관,어르신쉼터,노인쉼터,동네경로당,마을경로당
25,노인교실,노인교실,노인대학,어르신교육,실버교육,노인교육프로그램,시니어교육
26,②경로당,경로당,마을회관,노인쉼터,어르신쉼터,동네경로당,노인모임
27,복합노인복지시설,노인복지시설,노인종합복지시설,어르신복지시설,노인시설,복합복지시설,노인센터
28,노인일자리지원기관,노인일자리기관,시니어일자리센터,노인취업센터,노인일자리센터,어르신일자리,일자리지원
29,노인취업알선기관,노인일자리기관,취업알선센터,노인취업지원,일자리알선,시니어취업센터,노인취업
30,노인일자리창출지원센터,노인일자리기관,일자리창출센터,노인일자리센터,시니어일자리,취업지원센터,노인취업
31,장애유형별 거주시설,장애인거주시설,장애인생활시설,장애인주거시설,거주시설,생활홈,장애인시설
32,중증장애인거주시설,장애인거주시설,중증장애인시설,장애인생활시설,거주시설,장애인주거,생활시설
33,장애영유아거주시설,장애인거주시설,장애아동시설,장애영유아시설,장애인생활시설,거주시설,아동장애시설
34,장애인단기거주시설,장애인단기거주시설,단기보호시설,단기거주시설,장애인단기시설,임시거주,단기이용시설
35,장애인공동생활가정,장애인공동생활가정,그룹홈,공동생활시설,장애인쉐어홈,생활가정,소규모시설
36,지자체 조례 등에 따라 설치운영 중인 장애인복지관련 단체,장애인복지단체,장애인협회,복지단체,장애인기관,복지협회,지원단체
37,① 아동양육시설,아동양육시설,보육시설,아동시설,아동보호시설,아동양육원,아동센터
38,④ 공동생활가정,공동생활가정,그룹홈,쉐어홈,생활가정,소규모시설,공동거주
39,⑧ 지역아동센터,지역아동센터,공부방,아동센터,방과후센터,아동돌봄,지역아동시설
40,⑩ 아동보호전문기관,아동보호전문기관,아동보호기관,아동학대기관,아동지원기관,보호센터,아동기관
41,⑬ 학대피해아동쉼터 ,학대피해아동쉼터,아동쉼터,보호쉼터,긴급쉼터,아동보호쉼터,피해아동쉼터
42,⑭ 다함께돌봄센터,다함께돌봄센터,초등돌봄센터,아동돌봄센터,방과후돌봄,돌봄센터,아이돌봄
43,③ 아동보호치료시설,아동보호치료시설,치료시설,아동치료센터,보호치료시설,아동지원시설,재활치료
44,정신요양시설,정신요양시설,정신병원,정신시설,정신요양원,정신건강시설,요양시설
45,재활훈련시설,재활훈련시설,재활센터,훈련시설,재활시설,치료훈련,재활기관
46,종합시설,종합복지시설,종합복지관,복지센터,종합시설,복지시설,복지관
47,기타,기타,기타시설,기타복지시설,기타기관,기타서비스,기타유형
48,노숙인재활시설,노숙인복지시설,노숙인시설,노숙자시설,재활시설,노숙인지원,쉼터
49,노숙인요양시설,노숙인복지시설,노숙인요양시설,노숙자요양시설,노숙인시설,요양시설,노숙자시설
50,노숙인자활시설,노숙인복지시설,노숙인자활시설,노숙자자활시설,자활시설,노숙인시설,자활지원
51,한센복지협회(울산경남지부),한센복지시설,한센시설,나병시설,한센센터,한센복지,의료복지
52,한센생활시설,한센복지시설,한센시설,한센복지,의료복지시설,요양시설,복지시설
53,한센인마을(산청),한센복지시설,한센마을,한센시설,나병마을,복지마을,의료복지
54,청소년지원시설,청소년지원시설,청소년센터,청소년시설,청소년복지센터,청소년지원,청소년기관
55,자립지원공동생활시설,자립지원시설,자립센터,자립지원센터,생활지원시설,자립시설,지원센터
56,일반지원시설,일반지원시설,지원시설,복지지원시설,일반복지시설,지원기관,복지시설
57,성매매피해상담소,피해상담소,상담센터,피해지원센터,상담소,여성상담소,피해상담센터
58,특별지원보호시설,보호시설,보호소,임시보호시설,쉼터,보호센터,보호기관
59,장애인보호시설,장애인보호시설,장애인보호소,보호시설,장애인시설,보호기관,생활시설
60,자립지원공동생활가정,자립지원공동생활가정,자립그룹홈,공동생활시설,자립생활가정,쉐어홈,자립주거
61,성폭력피해상담소,피해상담소,성폭력상담소,상담센터,피해지원센터,여성상담,상담기관
62,외국인보호시설,보호시설,외국인보호소,보호기관,임시보호시설,보호센터,지원시설
63,가정폭력상담소,피해상담소,가정폭력상담소,상담센터,피해지원,여성상담,상담기관
64,단기보호시설,단기보호시설,단기보호,임시보호,단기입소,단기시설,임시시설
65,출산지원시설,출산지원시설,산모지원센터,출산센터,산후지원,출산복지,산모시설
66,양육지원시설,양육지원시설,육아지원센터,양육센터,아이돌봄센터,양육지원,육아센터
67,생활지원시설,생활지원시설,생활시설,지원시설,복지시설,생활지원,지원센터
68,일시지원시설 ,일시지원시설,긴급지원시설,임시지원시설,응급지원,일시보호,지원시설
69,청소년쉼터,청소년쉼터,청소년보호시설,쉼터,청소년시설,청소년보호,지원시설
70,청소년회복지원시설,청소년회복지원시설,회복시설,청소년회복센터,지원센터,재활시설,청소년시설
71,장애인복지관,장애인복지관,장애인센터,복지관,장애인종합복지관,복지시설,지원센터
72,장애인주간이용시설,장애인주간이용시설,주간이용시설,장애인이용시설,낮이용시설,주간시설,이용센터
73,장애인체육시설,장애인체육시설,체육센터,장애인체육센터,운동시설,체육시설,운동센터
74,시각장애인 등 생활지원센터,장애인생활지원센터,생활지원센터,장애인지원센터,지원센터,복지센터,생활지원
75,수어통역센터,수어통역센터,수화통역센터,통역센터,수어센터,청각장애지원,통역기관
76,점자도서관,점자도서관,시각장애도서관,점자센터,도서관,장애인도서관,정보센터
77,장애인재활치료시설,장애인재활치료시설,재활센터,치료센터,재활시설,의료재활,치료시설
78,장애인 생활이동지원센터,장애인이동지원센터,이동지원센터,콜택시센터,교통지원센터,이동지원,교통센터
79,장애인 주간보호시설,장애인주간보호시설,주간보호시설,낮돌봄시설,보호시설,이용시설,주간센터
80,한국수어 통역센터,수어통역센터,수화통역센터,통역센터,수어센터,청각지원,통역기관
81,장애인 자립생활지원시설(센터),장애인자립생활지원센터,자립생활센터,IL센터,자립센터,지원센터,자립지원
82,장애인근로작업장,장애인직업재활시설,보호작업장,근로작업장,직업재활시설,일자리시설,작업장
83,장애인보호작업장,장애인직업재활시설,보호작업장,작업장,직업재활시설,근로시설,일자리시설
84,장애인 근로작업장,장애인직업재활시설,근로작업장,작업시설,직업재활시설,일자리센터,근로시설
85,장애인의료재활시설(입원시설),장애인의료재활시설,재활병원,의료재활센터,재활시설,병원,치료센터
86,장애인 생산품판매시설,장애인직업재활시설,생산시설,판매시설,직업재활시설,일자리시설,작업장
87,장애인단체,장애인복지단체,장애인협회,복지단체,장애인기관,협회,단체
88,장애인가족지원센터,장애인가족지원센터,가족지원센터,장애인가족센터,가족센터,지원센터,복지센터
89,장애인권리옹호기관(권리옹호네트워크),장애인권리옹호기관,권익옹호기관,인권센터,권리보호기관,지원기관,옹호기관
90,장애인 단체,장애인복지단체,장애인단체,협회,복지단체,기관,단체
91,중증장애인자립생활지원센터,장애인자립생활지원센터,자립센터,IL센터,자립지원센터,생활지원센터,자립기관
92,기초정신건강복지센터,정신건강복지센터,정신건강센터,정신센터,심리상담센터,정신지원센터,건강센터
93,중독관리통합지원센터,중독관리지원센터,중독센터,알코올센터,중독관리센터,중독치료센터,상담센터
94,사회복지관,사회복지관,종합복지관,복지관,복지센터,사회복지센터,지역복지관
95,지역자활센터,자활지원기관,자활센터,지역자활센터,자활기업,자활지원센터,일자리센터
96,자활기업,자활지원기관,자활기업,자활센터,일자리기업,자활사업,지원기관
97,기초(시군)푸드뱅크,푸드뱅크,식품나눔,푸드센터,식품지원센터,기부식품,식품은행
98,자원봉사센터,자원봉사센터,봉사센터,자원봉사기관,봉사기관,자원봉사,봉사센터
99,사회복지사협회,사회복지단체,복지협회,사회복지협회,복지단체,협회,기관
100,사회복지협의회,사회복지단체,사회복지협의회,복지협회,단체,기관,협의회
101,가족센터 등,가족센터,건강가정센터,가족지원센터,가정센터,가족복지센터,가족지원
102,가족청소년복지관련 기관,가족·청소년복지기관,가족복지기관,청소년복지기관,복지기관,지원기관,복지센터
